	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC726040	15409.8634851983	2.17601755292639	0.358766137497279	30.4055410586549	3.50525463208575e-08	1.85373742513603e-07
LOC726042	25053.8157686333	2.99858584405718	0.476653877742594	29.8539988626998	4.658350892854e-08	2.42889486993556e-07
LOC726047	2925.77773086174	-3.7246686665918	0.331007518968102	122.18266745785	2.10533695166243e-28	7.68415597557532e-27
LOC726050	17.5788110344086	-3.88416575643773	1.28685644324861	9.06133152565131	0.0026107179096295	0.00604260211590735
LOC726051	395.216419932152	-2.48235839231072	0.297869792331263	71.3640197812054	2.97039736851901e-17	4.56410020535913e-16
LOC726054	3377.66267561992	2.68106919999506	0.405549926514891	34.2206851479754	4.92031657490352e-09	2.92116092149678e-08
LOC726062	156.579805058365	-2.06840614095218	0.609651695611833	11.8632321531106	0.000572530924190601	0.00152924157233707
LOC726065	1686.27476774114	2.04974268864362	0.25778476317056	53.1846766837931	3.03618024754463e-13	3.02140688727974e-12
LOC726066	988.614905941624	-3.49554085273818	0.432804257631111	64.0655458826209	1.20347899259989e-15	1.57394352924145e-14
LOC726069	3421.36949893526	2.21742705941598	0.388308257939052	26.8566705133773	2.19116745717725e-07	1.04384049706974e-06
LOC726071	262.357040934826	-2.85390775691695	0.58660691774965	23.9424562237958	9.92584634739293e-07	4.25516405394922e-06
LOC726074	46.594269666965	-2.8017841072297	0.634370838417758	19.4504249370404	1.03244866815404e-05	3.76480359718514e-05
LOC726092	2079.03176439012	3.04542646860524	0.458709186652789	33.1593360427608	8.49077204322918e-09	4.89395228264259e-08
LOC726106	429.981810676707	3.95284841319443	0.36269693056485	84.2659385794517	4.32502622315838e-20	8.36924323965819e-19
LOC726121	3276.35930611667	2.97216289335106	0.595248849497023	18.8805137650232	1.39167008568912e-05	4.95721967963484e-05
LOC726126	2658.54276780263	4.152074336488	0.626561618404182	29.1425424755524	6.72440775281767e-08	3.43370317537336e-07
LOC726130	548.876749424617	3.25440330704432	0.501518374201959	31.2030468529387	2.32401029590827e-08	1.26108920997547e-07
LOC726131	48.6894736699756	-3.22966837338421	0.854882273455243	14.0245750467831	0.000180436945782846	0.00053018158307558
LOC726137	1128.1793603969	-2.06621681826678	0.176632773548089	141.753276363473	1.1011060707443e-32	5.60571682882786e-31
LOC726145	6235.57416762725	-2.34376769045437	0.232635293826001	104.566794296198	1.51982618217761e-24	4.28222759453462e-23
LOC726153	1918.61732208419	2.0990124901716	0.544778908170759	12.3822312915872	0.00043343887415248	0.00118261869623422
LOC726155	77.8198932343558	-3.66777905091214	1.15880613506475	9.84365435167135	0.00170418608958803	0.00413311294105362
LOC726158	3093.71141149577	4.11218269109108	0.366396824172401	84.3352717859514	4.17598223907658e-20	8.14728640130369e-19
LOC726165	8707.89342698188	2.48369338949407	0.438384308566004	25.6570980858875	4.07792760229825e-07	1.85904601147048e-06
LOC726179	180.968232853489	-2.59335208419734	0.692849235214234	14.3042728390304	0.000155511486641896	0.000462905208167169
LOC726180	2786.20492439427	-5.37945173575233	0.506875122994716	96.9447412084797	7.12894203638969e-23	1.73998992665956e-21
LOC726184	12625.9646815299	2.22684555764843	0.278122203289525	52.7161648342577	3.85405962208259e-13	3.79406082545684e-12
LOC726200	724.434557240729	9.00520898248043	0.716419072133436	91.2415599075056	1.27161240124021e-21	2.81415416110288e-20
LOC726210	57991.8115147131	4.32713808483995	0.459588480380566	57.5488283128559	3.29692253256494e-14	3.7316884619547e-13
